Grapheme,Unicode_Hex,Frequency
க,U+0B95,14565
ன்,U+0BA9 U+0BCD,13210
ம்,U+0BAE U+0BCD,12615
க்,U+0B95 U+0BCD,11269
த,U+0BA4,9991
வ,U+0BB5,9597
த்,U+0BA4 U+0BCD,9358
ல்,U+0BB2 U+0BCD,8911
து,U+0BA4 U+0BC1,8725
அ,U+0B85,7944
.,U+002E,7729
ந்,U+0BA8 U+0BCD,7388
ரு,U+0BB0 U+0BC1,7204
ர்,U+0BB0 U+0BCD,7166
ப,U+0BAA,6910
ப்,U+0BAA U+0BCD,6747
தி,U+0BA4 U+0BBF,6547
கு,U+0B95 U+0BC1,5788
ய,U+0BAF,5522
ள்,U+0BB3 U+0BCD,5251
டு,U+0B9F U+0BC1,5164
எ,U+0B8E,5054
ட்,U+0B9F U+0BCD,5037
இ,U+0B87,4736
ட,U+0B9F,4631
ண்,U+0BA3 U+0BCD,4555
வி,U+0BB5 U+0BBF,4418
ர,U+0BB0,4410
ம,U+0BAE,4181
டி,U+0B9F U+0BBF,4150
கி,U+0B95 U+0BBF,4096
ன,U+0BA9,3865
",",U+002C,3755
ங்,U+0B99 U+0BCD,3564
று,U+0BB1 U+0BC1,3527
தா,U+0BA4 U+0BBE,3456
ற்,U+0BB1 U+0BCD,3185
ற,U+0BB1,3042
மா,U+0BAE U+0BBE,2841
ல,U+0BB2,2834
கா,U+0B95 U+0BBE,2667
ச,U+0B9A,2652
போ,U+0BAA U+0BCB,2519
யி,U+0BAF U+0BBF,2458
உ,U+0B89,2452
ரி,U+0BB0 U+0BBF,2447
யா,U+0BAF U+0BBE,2376
கொ,U+0B95 U+0BCA,2357
மு,U+0BAE U+0BC1,2354
பா,U+0BAA U+0BBE,2294
ய்,U+0BAF U+0BCD,2276
பி,U+0BAA U+0BBF,2254
சி,U+0B9A U+0BBF,2145
வா,U+0BB5 U+0BBE,1950
ச்,U+0B9A U+0BCD,1921
லை,U+0BB2 U+0BC8,1901
றி,U+0BB1 U+0BBF,1720
பு,U+0BAA U+0BC1,1708
டை,U+0B9F U+0BC8,1689
தை,U+0BA4 U+0BC8,1652
வே,U+0BB5 U+0BC7,1639
னா,U+0BA9 U+0BBE,1629
செ,U+0B9A U+0BC6,1628
ள,U+0BB3,1592
ஆ,U+0B86,1582
யு,U+0BAF U+0BC1,1577
ளை,U+0BB3 U+0BC8,1554
ஒ,U+0B92,1495
நா,U+0BA8 U+0BBE,1489
னை,U+0BA9 U+0BC8,1447
ந,U+0BA8,1443
டா,U+0B9F U+0BBE,1422
லி,U+0BB2 U+0BBF,1418
ண,U+0BA3,1396
ளி,U+0BB3 U+0BBF,1396
"""",U+0022,1393
லா,U+0BB2 U+0BBE,1361
ளு,U+0BB3 U+0BC1,1318
வு,U+0BB5 U+0BC1,1317
றா,U+0BB1 U+0BBE,1300
னு,U+0BA9 U+0BC1,1284
!,U+0021,1215
நி,U+0BA8 U+0BBF,1180
லு,U+0BB2 U+0BC1,1152
?,U+003F,1112
ரா,U+0BB0 U+0BBE,1070
தே,U+0BA4 U+0BC7,1055
பெ,U+0BAA U+0BC6,1030
கை,U+0B95 U+0BC8,973
சொ,U+0B9A U+0BCA,970
னி,U+0BA9 U+0BBF,922
மி,U+0BAE U+0BBF,906
கே,U+0B95 U+0BC7,904
சு,U+0B9A U+0BC1,890
ழு,U+0BB4 U+0BC1,878
